[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001727s ]
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001855s ]
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2015-12-21T17:30:29+08:00 ] /iBE/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001507s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ route_check ] --START--
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Run CheckRoute Behavior [ RunTime:0.001767s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ route_check ] --END-- [ RunTime:0.001903s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ app_begin ] --START--
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001308s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001394s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ view_template ] --START--
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000753s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000821s ]
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | INFO: Tag[ view_parse ] --START--
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T17:30:31+08:00 ] /iBE/admin.php/Login/index/signup.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
