[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.041450s ]
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.041609s ]
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001200s ]
[ 2016-01-06T08:04:26+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.077214s ]
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.077363s ]
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-01-06T08:04:27+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
