[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Tag[ app_begin ] --START--
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.017353s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.169907s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | SQL: SHOW COLUMNS FROM `ibe_bookinfo` [ RunTime:0.108465s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | SQL: SELECT `book_id`,`book_name`,`book_author`,`owner_id`,`book_owner_message`,`insert_time` FROM `ibe_bookinfo` ORDER BY book_id desc  [ RunTime:0.000858s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 28 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 28 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 28 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 28 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 28 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Tag[ view_template ] --START--
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Run LocationTemplate Behavior [ RunTime:0.057487s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.057615s ]
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | INFO: Tag[ view_parse ] --START--
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:03+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
